м,ж
Абрикосовый,Абрикосовая
Абсолютный,Абсолютная
Абстрактный,Абстрактная
Авангардный,Авангардная
Авантюрный,Авантюрная
Авторитетный,Авторитетная
Адекватный,Адекватная
Ажурный,Ажурная
Азартный,Азартная
Аккуратный,Аккуратная
Активный,Активная
Актуальный,Актуальная
Алмазный,Алмазная
Алый,Алая
Амбициозный,Амбициозная
Аномальный,Аномальная
Анонимный,Анонимная
Античный,Античная
Апельсиновый,Апельсиновая
Артистичный,Артистичная
Атлетический,Атлетическая
Багровый,Багровая
Базовый,Базовая
Банальный,Банальная
Бархатный,Бархатная
Басистый,Басистая
Баснословный,Баснословная
Бдительный,Бдительная
Бежевый,Бежевая
Безбрежный,Безбрежная
Безвредный,Безвредная
Безграничный,Безграничная
Беззаботный,Беззаботная
Беззвучный,Беззвучная
Безмерный,Безмерная
Безмолвный,Безмолвная
Безмятежный,Безмятежная
Безобидный,Безобидная
Безопасный,Безопасная
Безответный,Безответная
Безошибочный,Безошибочная
Безудержный,Безудержная
Безупречный,Безупречная
Безусловный,Безусловная
Безымянный,Безымянная
Белоснежный,Белоснежная
Бережливый,Бережливая
Бесконечный,Бесконечная
Бескорыстный,Бескорыстная
Бескрайний,Бескрайняя
Бесперебойный,Бесперебойная
Беспечный,Беспечная
Бесподобный,Бесподобная
Беспокойный,Беспокойная
Беспристрастный,Беспристрастная
Беспробудный,Беспробудная
Бессонный,Бессонная
Бесспорный,Бесспорная
Бесхитростный,Бесхитростная
Бесценный,Бесценная
Бесшумный,Бесшумная
Бирюзовый,Бирюзовая
Благовидный,Благовидная
Благоговеющий,Благоговеющая
Благодарный,Благодарная
Благодушный,Благодушная
Благополучный,Благополучная
Благопристойный,Благопристойная
Благоприятный,Благоприятная
Благоразумный,Благоразумная
Благородный,Благородная
Благосклонный,Благосклонная
Благотворный,Благотворная
Блестящий,Блестящая
Близкий,Близкая
Блуждающий,Блуждающая
Богатый,Богатая
Бодрый,Бодрая
Бойкий,Бойкая
Болтливый,Болтливая
Бордовый,Бордовая
Босоногий,Босоногая
Бравый,Бравая
Бронзовый,Бронзовая
Броский,Броская
Будничный,Будничная
Буквальный,Буквальная
Бурный,Бурная
Былинный,Былинная
Быстроногий,Быстроногая
Быстрый,Быстрая
Важный,Важная
Вальяжный,Вальяжная
Вдохновенный,Вдохновенная
