№,Имя,Род,Текст,Ссылка
1,Вильгельм Рентген,Муж,"В знак признания исключительных услуг, которые он оказал науке открытием замечательных лучей, названных впоследствии в его честь","https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%BD%D1%82%D0%B3%D0%B5%D0%BD,_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC_%D0%9A%D0%BE%D0%BD%D1%80%D0%B0%D0%B4"
2,Хендрик Лоренц,Муж,"В знак признания исключительных услуг, которые они оказали науке своими исследованиями влияния магнетизма на явления излучения","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%80%D0%B5%D0%BD%D1%86,_%D0%A5%D0%B5%D0%BD%D0%B4%D1%80%D0%B8%D0%BA_%D0%90%D0%BD%D1%82%D0%BE%D0%BD"
3,Питер Зееман,Муж,"В знак признания исключительных услуг, которые они оказали науке своими исследованиями влияния магнетизма на явления излучения","https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%B5%D0%BC%D0%B0%D0%BD,_%D0%9F%D0%B8%D1%82%D0%B5%D1%80"
4,Антуан Беккерель,Муж,"В знак признания исключительных услуг, которые он оказал науке своим открытием спонтанной радиоактивности","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BA%D0%BA%D0%B5%D1%80%D0%B5%D0%BB%D1%8C,_%D0%90%D0%BD%D1%82%D1%83%D0%B0%D0%BD_%D0%90%D0%BD%D1%80%D0%B8"
5,Пьер Кюри,Муж,"В знак признания исключительных услуг, которые они оказали науке совместными исследованиями явлений радиации, открытой профессором Анри Беккерелем","https://ru.wikipedia.org/wiki/%D0%9A%D1%8E%D1%80%D0%B8,_%D0%9F%D1%8C%D0%B5%D1%80"
6,Мария Кюри,Жен,"В знак признания исключительных услуг, которые они оказали науке совместными исследованиями явлений радиации, открытой профессором Анри Беккерелем","https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%BB%D0%BE%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F-%D0%9A%D1%8E%D1%80%D0%B8,_%D0%9C%D0%B0%D1%80%D0%B8%D1%8F"
7,Джон Уильям Стретт,Муж,За исследования плотности наиболее распространённых газов и за открытие аргона в ходе этих исследований,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B5%D1%82%D1%82,_%D0%94%D0%B6%D0%BE%D0%BD_%D0%A3%D0%B8%D0%BB%D1%8C%D1%8F%D0%BC_(%D0%BB%D0%BE%D1%80%D0%B4_%D0%A0%D1%8D%D0%BB%D0%B5%D0%B9)"
8,Филипп фон Ленард,Муж,За исследовательские работы по катодным лучам,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D0%B0%D1%80%D0%B4,_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D1%84%D0%BE%D0%BD"
9,Джозеф Томсон,Муж,"В знак признания его теоретических и экспериментальных исследований, посвящённых проводимости электричества газами","https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D1%81%D0%BE%D0%BD,_%D0%94%D0%B6%D0%BE%D0%B7%D0%B5%D1%84_%D0%94%D0%B6%D0%BE%D0%BD"
10,Альберт Майкельсон,Муж,"За создание точных оптических инструментов и спектроскопические и метрологические исследования, выполненные с их помощью","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BA%D0%B5%D0%BB%D1%8C%D1%81%D0%BE%D0%BD,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82_%D0%90%D0%B1%D1%80%D0%B0%D1%85%D0%B0%D0%BC"
